JoinMode,Group,Name,Profile,AppEUI,DevEUI,AppKey,DevAddr,AppSKey,NwkSKey
OTAA,,lorasim-device-000,AS923,0000000000000000,18d3bf0000000000,00112233445566778899AABBCCDDEEFF,,,
OTAA,,lorasim-device-001,AS923,0000000000000000,18d3bf0000000001,00112233445566778899AABBCCDDEEFF,,,
OTAA,,lorasim-device-002,AS923,0000000000000000,18d3bf0000000002,00112233445566778899AABBCCDDEEFF,,,
OTAA,,lorasim-device-003,AS923,0000000000000000,18d3bf0000000003,00112233445566778899AABBCCDDEEFF,,,
OTAA,,lorasim-device-004,AS923,0000000000000000,18d3bf0000000004,00112233445566778899AABBCCDDEEFF,,,
OTAA,,lorasim-device-005,AS923,0000000000000000,18d3bf0000000005,00112233445566778899AABBCCDDEEFF,,,
OTAA,,lorasim-device-006,AS923,0000000000000000,18d3bf0000000006,00112233445566778899AABBCCDDEEFF,,,
OTAA,,lorasim-device-007,AS923,0000000000000000,18d3bf0000000007,00112233445566778899AABBCCDDEEFF,,,
OTAA,,lorasim-device-008,AS923,0000000000000000,18d3bf0000000008,00112233445566778899AABBCCDDEEFF,,,
OTAA,,lorasim-device-009,AS923,0000000000000000,18d3bf0000000009,00112233445566778899AABBCCDDEEFF,,,
OTAA,,lorasim-device-010,AS923,0000000000000000,18d3bf000000000a,00112233445566778899AABBCCDDEEFF,,,
OTAA,,lorasim-device-011,AS923,0000000000000000,18d3bf000000000b,00112233445566778899AABBCCDDEEFF,,,
OTAA,,lorasim-device-012,AS923,0000000000000000,18d3bf000000000c,00112233445566778899AABBCCDDEEFF,,,
OTAA,,lorasim-device-013,AS923,0000000000000000,18d3bf000000000d,00112233445566778899AABBCCDDEEFF,,,
OTAA,,lorasim-device-014,AS923,0000000000000000,18d3bf000000000e,00112233445566778899AABBCCDDEEFF,,,
OTAA,,lorasim-device-015,AS923,0000000000000000,18d3bf000000000f,00112233445566778899AABBCCDDEEFF,,,
OTAA,,lorasim-device-016,AS923,0000000000000000,18d3bf0000000010,00112233445566778899AABBCCDDEEFF,,,
OTAA,,lorasim-device-017,AS923,0000000000000000,18d3bf0000000011,00112233445566778899AABBCCDDEEFF,,,
