OTAA,,sim-as923-01,,0000000000000001,0102030405060701,00112233445566778899AABBCCDDEEFF
OTAA,,sim-as923-02,,0000000000000001,0102030405060702,00112233445566778899AABBCCDDEEFF
OTAA,,sim-as923-03,,0000000000000001,0102030405060703,00112233445566778899AABBCCDDEEFF
OTAA,,sim-as923-04,,0000000000000001,0102030405060704,00112233445566778899AABBCCDDEEFF
OTAA,,sim-as923-05,,0000000000000001,0102030405060705,00112233445566778899AABBCCDDEEFF
OTAA,,sim-as923-06,,0000000000000001,0102030405060706,00112233445566778899AABBCCDDEEFF
OTAA,,sim-as923-07,,0000000000000001,0102030405060707,00112233445566778899AABBCCDDEEFF
OTAA,,sim-as923-08,,0000000000000001,0102030405060708,00112233445566778899AABBCCDDEEFF
OTAA,,sim-as923-09,,0000000000000001,0102030405060709,00112233445566778899AABBCCDDEEFF
OTAA,,sim-as923-10,,0000000000000001,010203040506070A,00112233445566778899AABBCCDDEEFF
